100 4860
36 17 14
5 84 11
59 53 14
39 22 15
28 22 6
86 28 19
36 58 1
11 90 4
26 70 28
79 77 13
34 65 10
29 70 26
61 82 19
64 21 2
90 50 16
68 88 4
76 24 14
96 36 24
41 14 17
21 45 24
35 79 11
14 8 12
81 21 4
49 38 27
92 28 29
58 48 30
55 7 13
91 52 27
5 68 8
3 13 23
82 24 9
43 57 20
64 72 11
2 60 4
83 99 4
31 78 7
8 33 16
32 77 11
98 34 21
37 74 20
72 50 20
67 59 1
83 31 12
38 91 7
73 42 2
4 72 30
64 6 16
35 47 12
95 85 2
21 96 4
23 96 3
82 68 6
13 59 24
57 17 9
99 48 6
72 8 30
30 55 19
65 90 7
38 37 22
49 11 10
84 34 26
86 17 5
75 99 10
93 48 22
93 53 14
1 74 4
56 93 1
98 11 1
88 62 11
51 61 15
85 9 14
54 25 18
37 52 7
28 97 27
19 91 30
82 44 25
27 53 8
28 90 22
42 40 3
55 26 21
16 99 25
41 48 24
46 97 3
43 93 2
34 43 7
31 19 6
84 36 6
87 16 6
31 10 8
25 17 24
5 34 16
92 27 24
32 19 8
26 43 4
69 49 5
70 76 22
58 44 27
41 6 4
19 24 10
54 68 28
89 35 3
22 55 2
35 69 22
21 9 8
92 37 30
2 33 26
43 39 22
61 14 11
37 76 7
5 65 26
49 48 20
49 50 17
70 1 18
79 38 2
68 37 24
1 15 9
92 76 21
7 8 20
83 94 26
48 21 9
27 23 19
38 72 9
84 43 20
4 74 30
15 95 18
81 96 23
89 80 2
48 88 22
83 82 9
83 3 9
10 26 27
49 51 27
85 46 8
89 72 7
57 67 16
38 64 30
27 5 10
91 5 18
71 2 24
33 53 9
34 56 27
72 2 4
61 75 2
47 56 19
63 18 8
68 55 12
8 27 24
31 54 6
17 59 14
3 16 10
75 70 5
37 97 6
7 40 15
16 50 24
52 66 4
31 86 1
72 95 20
67 78 26
62 95 6
17 99 24
96 74 6
32 63 24
49 71 26
66 39 8
51 91 24
90 16 7
85 6 24
63 1 8
11 8 5
92 36 12
76 52 27
25 75 22
91 14 29
42 5 15
48 79 5
65 77 2
71 42 17
24 21 28
85 65 30
20 9 9
1 85 23
77 10 8
40 54 22
41 96 19
45 97 20
91 62 19
22 85 11
68 9 2
78 94 19
49 15 30
44 21 7
6 60 17
12 61 18
61 71 25
58 60 6
20 30 18
5 90 9
88 61 14
89 28 5
51 96 11
24 94 28
85 33 2
98 60 3
70 37 1
82 52 13
13 42 10
55 52 17
31 92 10
56 81 10
41 84 26
94 35 23
92 47 17
62 84 18
97 89 22
10 83 2
17 35 18
38 57 23
97 4 30
6 32 21
41 44 5
41 20 28
25 19 17
66 61 19
49 54 6
84 13 27
63 51 4
76 48 24
25 52 15
31 11 27
83 4 23
27 45 6
86 23 5
42 89 18
60 39 24
48 23 17
84 39 28
29 67 28
72 92 21
86 75 14
33 58 18
75 85 24
42 72 9
47 76 18
86 82 16
62 48 2
53 18 21
20 35 25
64 57 21
39 90 6
49 80 14
34 15 26
58 73 5
77 20 24
4 7 6
31 21 4
11 86 7
99 50 1
56 0 22
99 36 21
79 99 27
47 19 22
24 39 15
80 98 20
44 57 4
8 43 10
7 93 2
15 45 23
14 33 5
93 91 20
40 10 3
16 2 17
48 0 28
11 72 12
20 65 10
63 57 29
8 10 15
53 65 21
39 69 9
71 14 12
12 6 23
44 22 15
82 70 7
19 33 29
1 53 17
42 68 14
43 28 26
59 34 1
96 46 2
9 53 16
5 75 30
40 98 28
59 31 27
12 37 13
7 57 18
62 9 11
73 50 4
5 72 20
51 13 11
4 88 9
48 82 17
7 13 5
60 53 20
46 16 1
18 41 1
63 46 5
52 49 18
55 6 8
63 38 19
11 20 28
70 85 2
94 40 11
73 0 14
54 98 22
96 16 5
37 79 11
1 83 13
31 38 9
0 53 9
21 16 11
88 39 6
61 33 6
71 59 28
15 18 11
83 43 10
14 65 13
67 36 5
87 57 21
27 97 10
53 58 4
69 7 26
87 69 12
57 48 4
7 37 29
96 42 5
5 4 3
54 6 28
65 41 20
39 16 23
47 55 13
90 38 3
47 38 28
7 27 19
55 84 17
49 81 3
5 26 2
34 91 23
33 90 28
25 6 13
72 62 17
62 0 11
61 90 9
58 75 25
24 35 7
75 93 27
18 98 2
9 37 17
67 19 21
29 17 25
81 48 27
71 88 27
89 46 13
43 22 9
30 71 11
84 0 27
34 11 6
71 0 6
43 12 5
60 87 19
60 75 30
0 31 21
98 63 6
45 92 5
19 38 11
19 6 5
83 84 29
35 29 4
63 76 12
95 76 24
15 75 9
83 48 3
28 40 8
0 30 10
71 36 15
54 20 5
75 20 13
37 67 2
82 35 19
90 18 27
23 98 17
22 98 17
71 70 15
57 76 18
3 18 29
52 59 16
58 9 4
77 30 6
12 78 9
30 74 14
29 62 18
68 49 26
78 14 22
86 7 11
90 64 20
26 80 28
74 62 23
49 43 17
46 23 28
15 24 15
45 54 19
78 50 13
64 9 15
19 3 5
36 72 15
35 50 7
12 25 29
16 26 15
83 73 10
82 40 4
68 85 29
16 15 11
10 32 1
85 3 6
1 39 30
85 74 10
1 87 7
32 3 4
6 38 9
55 20 9
28 88 24
8 56 21
22 83 25
26 30 8
43 92 11
44 31 10
76 86 13
34 77 13
30 70 9
5 30 27
95 21 26
18 4 12
44 86 20
61 35 3
5 58 19
47 75 2
13 23 12
91 48 16
38 43 8
55 13 4
77 9 11
56 23 18
30 28 6
0 17 3
99 44 4
33 48 9
8 49 12
1 93 12
76 31 8
25 86 21
31 15 1
71 23 4
50 5 4
36 6 13
0 57 17
34 42 7
84 50 9
26 3 22
67 80 5
4 57 13
7 88 29
19 11 2
2 62 10
95 50 29
4 78 15
69 97 26
47 1 17
66 33 21
23 42 25
30 83 23
49 94 17
3 8 26
72 6 13
74 57 29
85 60 15
35 45 14
88 53 1
21 15 4
15 69 6
98 32 7
93 30 2
1 17 24
60 99 19
69 37 24
14 75 24
81 10 11
94 50 14
74 23 29
29 38 30
66 37 24
35 70 20
47 21 30
68 11 23
83 38 8
64 0 10
10 50 15
37 73 5
66 11 4
33 0 28
37 34 1
83 70 24
42 17 17
93 86 10
37 21 28
86 37 18
85 47 28
12 63 14
76 78 29
76 65 8
11 58 21
33 73 15
2 9 8
40 9 15
61 98 13
50 36 28
50 75 19
86 88 14
89 64 13
55 15 28
88 74 22
50 21 14
45 9 1
47 97 21
97 73 9
29 44 6
14 77 30
33 17 20
7 60 22
81 44 23
91 41 13
23 88 30
63 86 5
67 6 8
48 2 5
70 55 9
99 76 3
16 86 22
77 97 23
73 72 4
14 4 8
2 85 23
40 26 3
59 84 11
8 86 15
30 42 24
87 97 9
48 26 19
43 99 21
76 13 5
71 58 17
63 36 20
23 21 22
83 7 6
13 1 21
94 72 30
91 80 9
18 38 24
17 20 20
83 6 8
99 78 18
7 41 14
46 7 10
54 5 25
7 87 9
2 12 18
20 2 11
89 75 22
72 81 29
97 31 22
23 9 20
69 75 7
85 83 24
44 14 11
98 78 20
70 33 30
59 8 14
84 89 4
59 49 12
90 2 25
52 71 26
21 92 22
84 12 25
98 35 23
29 84 13
62 26 14
70 49 8
97 60 26
39 62 12
43 86 8
16 78 21
6 63 2
48 25 30
54 47 19
91 7 4
40 67 21
54 75 29
53 44 9
59 89 30
93 23 25
52 39 19
0 16 18
54 64 29
90 13 25
2 44 23
46 95 6
57 54 7
97 99 3
3 51 22
61 4 10
49 10 24
36 52 4
79 65 28
9 29 26
53 84 11
95 39 13
28 1 27
78 2 29
43 21 20
32 25 23
11 42 20
66 79 24
18 89 3
59 14 10
95 67 8
35 19 26
35 42 16
24 11 21
6 74 23
18 92 3
13 11 4
85 76 10
97 91 11
29 95 12
8 30 14
80 30 3
72 88 17
55 58 12
69 71 13
72 9 29
3 58 22
15 2 2
57 68 3
71 74 15
3 4 17
76 44 26
6 52 27
60 76 26
90 31 14
12 46 19
43 3 25
56 55 12
24 38 5
50 82 29
6 50 5
51 17 8
6 75 2
32 35 28
20 26 11
65 38 7
42 47 10
66 35 26
16 69 24
75 72 20
26 89 27
32 65 20
16 52 17
88 30 19
67 54 20
6 58 22
94 63 21
63 87 16
87 56 4
29 55 8
46 34 24
72 29 22
26 49 1
45 55 20
64 51 27
22 64 1
86 94 26
35 33 25
64 88 2
62 75 18
61 41 12
72 84 11
3 49 22
89 23 17
12 69 25
64 4 29
50 20 29
83 41 5
88 87 12
83 11 8
78 87 27
2 53 30
63 17 29
50 33 5
70 84 7
81 55 10
38 76 27
49 5 2
16 84 29
3 53 22
21 52 22
85 52 13
45 18 14
98 95 17
74 73 18
80 85 4
16 83 8
54 39 12
7 12 6
11 18 4
84 61 9
36 43 17
6 59 17
24 57 25
32 17 10
64 2 6
80 38 13
86 77 24
93 89 21
4 59 25
16 30 17
75 79 1
84 23 15
16 40 24
80 95 29
12 85 4
98 14 19
44 55 10
48 14 4
89 87 20
19 55 1
55 82 12
67 66 25
11 35 27
96 15 24
97 80 19
10 30 25
99 37 16
14 72 7
53 42 6
8 94 13
42 25 12
8 31 25
43 29 24
11 23 21
43 53 13
73 98 1
48 97 21
23 63 5
26 27 27
72 21 9
49 35 30
32 59 5
85 54 21
38 86 5
36 9 5
86 21 28
68 18 13
47 46 17
21 17 7
56 96 19
67 70 21
52 8 28
58 40 29
97 94 25
6 48 13
27 77 23
22 16 28
68 73 29
85 31 27
33 69 17
4 22 29
64 11 7
4 39 24
51 56 12
99 58 29
84 91 27
53 64 18
17 19 29
91 69 15
2 26 21
42 31 22
85 84 30
8 63 26
8 16 27
99 64 3
23 33 2
51 76 22
47 30 10
99 24 13
3 74 20
95 42 15
55 5 10
18 76 26
17 92 28
30 43 14
83 14 2
60 29 5
34 38 13
96 71 20
53 81 19
50 51 15
37 20 7
93 66 18
46 50 30
82 16 23
42 45 28
76 84 2
94 69 29
17 10 22
98 59 14
82 21 3
45 85 1
3 84 11
96 85 5
42 6 25
46 62 9
91 64 4
15 92 2
61 29 24
5 16 16
83 20 30
3 21 11
51 58 7
31 58 4
29 20 4
20 36 8
46 74 13
91 45 4
20 8 21
37 13 24
96 82 5
0 40 12
46 56 13
4 42 14
76 55 6
22 87 28
65 84 23
85 92 14
74 58 29
35 65 8
35 57 11
44 89 11
47 65 26
22 30 3
96 69 30
61 5 14
99 98 27
73 8 26
82 26 8
17 54 3
13 43 13
60 8 30
83 91 2
31 12 1
93 18 15
44 68 3
17 76 20
78 96 4
5 96 25
89 13 19
91 27 2
5 39 3
34 74 26
16 6 18
78 51 18
4 95 16
39 64 12
68 43 1
84 48 27
68 89 2
37 40 15
19 39 13
69 70 14
36 74 21
24 13 28
35 34 23
47 18 21
3 86 2
25 45 6
25 38 23
15 32 5
13 77 11
1 51 23
25 65 20
71 12 20
53 16 28
24 93 26
31 70 14
67 91 13
28 27 11
30 78 4
7 95 23
72 46 5
85 67 20
53 75 7
46 80 28
68 75 4
8 42 15
80 58 5
61 86 22
21 68 20
0 5 24
85 73 5
38 48 11
36 80 9
49 7 17
42 80 25
42 12 25
43 18 10
13 19 12
14 7 2
4 12 27
7 78 18
14 76 26
75 35 22
47 74 3
90 87 27
85 57 6
91 37 27
19 62 17
6 89 22
87 10 28
87 84 22
77 23 19
14 80 16
31 80 27
20 23 24
16 89 7
76 81 17
67 53 19
33 59 10
35 99 10
4 86 5
5 15 28
45 81 11
84 8 16
52 97 22
29 31 9
18 81 16
20 68 7
79 72 25
75 30 2
43 75 3
95 18 8
27 30 4
35 95 27
85 58 28
16 68 26
96 99 30
65 46 29
89 82 25
9 47 17
4 17 16
83 47 20
19 42 16
4 53 5
69 24 23
65 75 22
30 73 13
72 56 29
91 90 8
90 8 4
8 24 27
55 25 26
50 12 12
55 66 4
28 35 30
41 0 16
64 83 11
56 6 29
46 43 20
55 36 28
31 13 15
56 60 27
61 34 28
90 69 20
83 21 27
99 56 7
78 11 4
21 28 22
76 16 11
56 15 23
63 83 9
38 36 12
1 16 20
44 63 23
65 43 6
94 12 16
4 45 6
72 82 19
41 3 10
21 99 5
15 64 9
60 10 3
65 10 6
53 79 20
50 24 4
93 87 27
73 4 19
7 22 12
62 23 25
29 77 29
41 88 1
98 4 6
9 89 21
40 78 2
64 94 5
3 70 10
8 70 7
80 6 29
41 94 29
19 94 30
0 63 12
9 4 25
1 34 26
65 28 22
20 98 24
28 69 30
11 33 21
69 11 4
15 71 25
3 75 12
18 78 13
22 72 14
57 59 21
20 84 27
1 5 26
97 33 2
73 67 20
1 64 28
98 88 9
31 60 23
97 61 30
63 25 20
12 10 22
64 55 2
62 78 18
81 71 13
61 70 29
59 58 8
91 18 22
88 32 22
3 9 11
82 9 3
54 71 11
61 52 5
35 86 30
66 27 20
85 40 10
69 1 4
63 50 28
18 33 30
81 39 21
73 52 24
37 88 2
89 36 19
96 80 14
33 20 24
2 74 19
81 30 2
83 27 22
68 38 15
18 12 25
7 52 26
55 49 14
52 29 19
63 88 5
41 21 27
33 98 16
84 93 1
20 0 25
74 82 20
54 19 20
18 59 16
11 80 12
98 89 28
96 14 2
38 50 7
51 99 14
71 99 30
91 40 30
73 61 20
93 62 20
52 40 11
85 23 9
74 92 27
35 90 22
86 89 27
29 7 7
79 17 27
78 33 29
63 9 8
89 53 4
29 39 1
20 62 29
32 48 29
80 29 30
97 55 23
53 86 17
27 70 2
20 71 19
40 86 18
2 59 9
4 0 1
36 48 21
68 78 20
64 70 12
82 34 14
64 41 13
3 77 4
62 38 6
24 62 24
92 95 9
78 59 9
2 19 1
35 77 30
70 91 3
46 54 26
39 98 1
97 76 2
77 78 23
92 4 15
63 95 1
68 22 21
13 83 15
58 82 12
79 76 1
8 68 20
38 52 12
42 87 7
89 69 26
63 59 23
89 54 30
26 42 17
84 24 20
88 57 28
66 86 18
95 86 28
47 27 13
89 34 12
15 76 20
51 52 9
32 49 20
34 76 4
96 9 3
65 31 20
60 69 17
9 49 14
72 16 2
64 67 6
12 99 15
1 40 13
91 6 19
15 28 25
23 5 4
47 73 27
11 41 2
24 92 16
77 85 20
20 91 8
39 93 23
4 79 28
11 51 2
84 27 24
77 18 30
22 25 9
7 64 2
40 96 25
60 55 1
51 47 6
39 68 29
3 52 26
78 82 16
29 4 21
13 47 12
9 93 12
17 44 11
51 95 10
86 18 13
74 21 28
41 51 20
38 78 25
61 99 12
70 51 13
61 0 22
47 71 26
73 44 23
11 92 17
26 32 27
67 48 11
66 1 6
44 16 6
97 19 25
20 95 11
59 39 2
37 71 28
74 42 11
45 74 7
63 67 21
59 51 10
79 46 20
96 93 6
8 4 27
49 42 11
78 70 29
21 67 25
87 30 13
49 61 27
77 40 11
38 88 25
98 50 13
54 95 7
24 75 18
91 30 27
26 87 11
87 51 1
79 62 1
66 17 7
11 67 8
25 27 16
80 22 23
56 97 2
48 27 21
28 8 5
67 60 27
40 5 26
3 95 24
82 63 6
4 47 23
1 20 3
81 70 4
64 98 25
48 65 27
14 64 21
90 58 11
8 78 26
7 71 30
11 84 23
77 45 21
82 27 13
92 49 14
70 74 30
93 33 23
94 96 23
52 94 1
24 29 20
87 58 13
74 98 23
27 42 15
40 12 9
67 81 24
19 76 17
37 43 21
66 94 10
95 79 2
45 13 9
8 13 18
9 44 6
42 50 15
18 66 22
61 58 8
56 38 14
14 85 15
95 31 9
55 18 8
7 70 8
20 27 2
38 23 21
88 80 12
6 73 15
16 33 13
40 93 21
47 63 21
23 58 23
65 1 15
66 59 8
72 24 30
35 16 14
27 64 17
9 84 12
33 42 4
46 76 9
66 7 11
50 54 19
91 46 5
63 22 5
50 39 10
78 3 18
39 87 29
58 32 10
52 84 3
98 28 9
72 74 9
11 15 9
66 63 29
53 11 13
51 93 9
22 93 28
53 24 26
67 5 30
3 29 18
83 17 10
58 56 4
25 76 10
88 84 6
70 47 1
95 60 23
41 8 1
71 87 14
40 39 14
89 25 2
77 99 16
16 7 3
0 86 10
94 47 10
84 57 14
27 37 4
92 77 17
23 18 26
22 73 30
36 62 13
75 23 27
74 54 26
8 38 23
34 86 1
3 72 23
90 71 11
93 44 26
83 33 18
77 60 11
56 70 13
94 84 29
33 5 21
14 50 1
16 92 2
36 7 29
30 4 24
65 37 3
42 97 13
78 29 16
54 58 21
96 66 24
43 27 24
27 63 12
77 1 11
14 73 5
78 44 22
3 10 28
67 84 2
66 90 9
87 45 5
86 30 13
20 6 22
98 3 6
2 65 3
15 97 19
2 0 9
17 67 9
95 6 16
19 23 25
6 53 29
49 99 19
7 42 9
10 57 21
78 25 29
77 42 23
40 34 26
7 6 9
73 64 5
83 69 3
83 35 1
10 85 1
87 5 11
29 27 1
27 95 15
82 3 11
26 97 21
91 32 30
39 99 15
32 9 20
34 54 21
34 31 14
61 25 19
40 62 3
31 94 29
92 42 13
47 72 6
31 6 18
47 88 6
45 20 4
56 33 21
39 8 20
71 57 16
3 93 29
90 93 3
14 68 27
73 27 4
61 22 29
33 68 17
67 90 15
53 29 3
54 53 22
9 56 6
54 4 17
40 46 2
24 12 30
46 3 16
32 23 2
99 14 16
59 11 19
61 20 17
66 75 13
8 17 30
7 73 16
62 6 17
58 65 18
58 26 11
15 44 16
27 50 15
15 61 7
99 69 26
91 28 19
98 67 16
88 9 20
13 96 29
43 63 16
0 90 8
76 80 16
92 41 14
86 73 1
65 19 9
55 31 5
3 22 10
66 9 23
18 37 14
78 58 14
79 44 16
0 81 17
86 6 9
49 58 30
26 36 19
12 59 16
90 17 30
69 14 7
69 47 15
7 53 23
11 30 24
21 91 7
35 74 22
62 66 20
50 57 15
66 83 22
33 49 1
54 96 15
62 1 29
62 98 26
60 33 11
68 1 9
25 7 27
46 73 30
58 63 8
55 67 30
8 77 7
92 39 18
68 0 11
70 43 29
38 96 30
16 56 26
62 81 25
20 90 18
62 61 19
16 58 2
48 29 21
20 99 26
89 37 3
68 31 22
10 4 26
12 13 1
41 15 22
40 61 3
72 35 6
44 62 1
48 89 3
65 24 28
6 28 13
9 92 17
59 86 24
8 91 9
96 47 20
85 87 6
47 37 6
37 11 23
19 93 14
80 86 22
91 24 7
63 92 30
59 41 17
1 14 26
65 11 14
56 35 21
82 38 24
57 42 3
74 76 5
32 54 19
34 20 14
0 10 28
26 13 23
37 56 1
25 68 4
15 81 27
38 32 10
18 6 27
73 39 23
43 25 23
36 77 4
20 78 4
40 23 29
22 19 17
13 9 21
54 80 18
20 53 9
44 96 4
37 84 3
9 70 5
95 10 19
49 21 23
4 1 10
76 6 10
21 2 5
58 38 7
40 72 13
41 22 29
2 92 26
5 93 22
64 5 22
37 17 16
38 89 14
55 4 17
51 44 22
14 37 16
14 92 9
79 89 16
36 34 7
53 39 20
90 9 5
29 50 11
25 60 5
89 12 18
85 25 4
23 61 10
79 56 27
82 22 22
6 65 12
21 6 25
31 73 5
92 73 2
33 4 11
9 71 4
64 44 16
38 55 22
28 47 27
9 12 3
71 43 13
61 31 7
50 62 28
5 73 16
52 81 25
48 75 13
80 87 1
14 42 29
41 13 11
76 75 14
83 59 24
34 51 2
18 32 29
78 36 12
95 23 6
70 46 21
92 20 16
78 84 17
26 22 18
10 34 27
42 64 7
1 12 20
40 8 23
55 78 2
5 22 4
83 71 23
91 49 17
50 91 17
94 55 5
71 4 21
32 44 19
65 99 9
48 4 2
19 95 10
68 3 10
12 19 3
15 84 28
39 15 13
56 66 14
56 22 15
57 46 19
52 28 20
71 26 20
12 39 9
10 7 15
86 39 26
57 96 25
2 7 16
61 30 22
94 30 15
12 52 11
74 11 25
69 26 23
8 2 21
56 76 21
56 78 10
63 39 30
96 4 14
20 16 29
2 10 2
15 74 16
17 43 14
73 55 14
51 84 27
49 24 26
49 27 26
2 94 3
8 19 21
70 19 14
19 85 10
74 78 13
59 87 8
54 91 17
1 56 8
41 30 10
47 82 14
67 15 15
89 77 30
20 21 19
74 50 27
30 18 30
30 97 19
60 68 1
95 16 13
0 35 9
99 63 5
73 81 29
24 80 1
61 28 11
22 48 12
69 64 16
13 75 5
25 31 9
61 80 6
43 95 25
24 59 9
70 93 9
38 67 14
68 74 27
81 82 27
86 58 23
12 66 25
80 52 5
72 48 22
46 20 6
54 38 2
71 72 16
44 74 26
35 4 3
34 69 8
29 56 16
91 63 13
2 35 16
14 25 29
79 60 23
7 67 18
14 46 24
91 58 26
15 42 26
98 13 18
85 28 7
10 94 24
54 15 20
84 22 20
83 39 25
97 85 11
89 43 6
4 37 1
49 88 1
86 69 30
89 78 27
49 62 19
28 46 28
74 24 13
17 40 29
15 78 24
30 25 20
85 66 30
31 3 24
70 59 8
62 99 15
71 25 21
60 84 19
0 14 10
67 45 27
27 89 1
53 19 21
82 64 14
86 79 10
46 83 8
82 71 10
49 82 17
46 78 11
51 5 2
1 59 1
8 55 10
32 20 2
48 18 5
25 53 27
54 2 19
3 48 30
85 51 27
77 41 27
84 32 23
30 51 6
68 10 3
33 88 26
21 94 20
49 40 3
83 57 26
19 90 18
49 93 15
11 16 5
74 10 8
6 40 27
56 80 21
9 79 22
69 43 16
18 36 22
82 5 27
73 54 27
26 25 27
75 12 24
94 33 8
99 52 26
40 57 13
8 62 3
81 16 21
75 52 10
28 0 20
87 12 10
27 21 14
0 96 24
98 83 12
29 0 29
90 99 10
56 86 4
53 97 9
74 49 15
67 52 10
18 35 21
59 65 25
2 17 26
18 27 12
93 31 1
4 76 26
13 29 17
0 87 3
28 5 18
22 23 5
7 58 5
71 44 11
63 73 21
22 0 1
87 82 17
41 98 17
7 50 15
93 85 2
94 26 10
9 51 23
59 55 4
78 81 16
20 31 2
79 82 8
96 68 12
46 6 25
55 57 17
10 11 17
42 22 4
24 18 27
3 0 4
52 20 15
37 72 7
52 18 3
86 26 12
94 65 13
56 28 21
50 2 24
31 67 1
87 19 5
20 28 23
83 51 19
12 26 28
20 7 18
92 33 27
48 61 29
35 80 25
34 6 6
91 87 1
43 5 30
98 70 8
65 42 15
50 92 28
78 92 19
28 79 10
41 28 25
78 72 14
98 15 21
42 29 19
93 74 8
26 51 19
47 45 18
40 73 12
64 87 20
29 69 29
59 46 22
83 89 14
93 34 8
15 9 11
13 56 6
30 44 18
28 23 20
92 62 9
26 33 11
19 69 22
42 62 16
62 7 5
45 63 20
89 65 30
34 27 30
87 41 23
86 29 19
20 56 19
28 18 8
22 11 17
84 74 21
9 95 4
84 77 18
13 34 22
4 69 14
77 0 14
30 6 16
74 17 20
58 47 29
23 81 21
79 2 26
74 53 24
51 20 4
57 5 14
37 1 11
2 23 27
28 93 17
54 61 24
27 24 14
48 19 6
22 24 21
26 44 17
83 49 30
73 2 10
75 26 29
24 41 14
30 54 29
89 94 26
64 36 16
38 60 6
53 48 17
93 21 20
87 92 14
58 68 15
21 51 1
29 79 24
16 43 11
17 15 17
26 29 5
65 74 18
23 94 24
96 45 24
57 37 21
39 13 16
48 55 2
44 24 17
60 50 9
25 15 5
44 90 19
66 73 26
81 50 10
17 56 7
69 36 15
36 10 29
79 30 29
17 96 15
65 52 20
17 82 30
29 76 20
87 55 16
23 49 5
85 39 26
15 90 3
12 14 20
16 73 26
70 4 21
89 99 20
10 13 16
95 52 11
11 94 6
54 43 7
22 13 1
42 82 21
61 60 1
24 77 9
37 22 7
41 55 20
96 48 7
68 4 6
20 47 11
82 8 3
69 56 9
98 66 26
73 24 9
89 5 17
35 84 27
98 71 23
99 47 6
59 61 18
15 99 26
34 26 9
10 46 7
66 45 21
85 26 12
68 70 4
20 67 28
71 66 3
31 27 20
95 84 25
74 69 18
22 9 7
42 2 24
55 16 26
14 45 16
54 21 1
43 31 14
82 36 11
23 92 9
68 30 21
14 40 13
60 43 15
1 49 11
76 41 11
51 36 20
82 46 16
74 89 8
82 98 30
75 37 13
41 74 9
92 35 8
45 36 10
21 78 21
89 7 13
84 81 24
93 64 2
31 36 30
66 20 10
65 93 30
25 66 6
14 17 6
32 7 20
23 90 26
37 61 26
10 59 16
85 20 24
54 97 17
31 4 4
13 61 22
40 33 22
23 47 18
14 16 30
84 63 27
41 79 22
52 74 2
45 52 6
